index,epsilon,pvalue,product,gene
NTC_282,0.360363333333,0.124303012643,0.326315609396,NTC
NISCH,0.38697,0.144344394432,0.325287011852,NISCH
NTC_2531,0.34246,0.112662060267,0.324728212633,NTC
NTC_1514,0.352386666667,0.119832276832,0.324698303301,NTC
NTC_94,0.4274,0.176444287053,0.321999911225,NTC
NTC_1722,0.326536666667,0.107173018942,0.316712659384,NTC
MAP3K19,0.248823333333,0.0545124815734,0.314389288685,MAP3K19
NTC_1041,0.330083333333,0.112662060267,0.312992381164,NTC
MYLK4,0.321346666667,0.106502369994,0.312554855735,MYLK4
TACR1,0.4923,0.232327884536,0.312068311318,TACR1
NTC_2218,0.24829,0.0556860167018,0.311418687594,NTC
"BRD4_ENST00000263377.2,ENST00000371835.4",0.285253333333,0.0822873070565,0.309404920155,BRD4
NTC_1984,0.46518,0.217014290578,0.308652357043,NTC
NTC_2527,0.34263,0.127355075508,0.306648279633,NTC
NTC_166,0.353853333333,0.136861658374,0.305629564801,NTC
DUSP2,0.37181,0.153021551256,0.303117135678,DUSP2
EPX,0.261066666667,0.0710021304785,0.299894751654,EPX
LATS1,0.262756666667,0.078026029113,0.291071455016,LATS1
DDAH2,0.24294,0.0636185012921,0.290657440569,DDAH2
EIF2AK3,0.285266666667,0.0974541474726,0.288461560155,EIF2AK3
NTC_1245,0.311413333333,0.119832276832,0.286944400919,NTC
KCNQ2,0.306216666667,0.119099894809,0.282971337562,KCNQ2
TRPA1,0.386663333333,0.185500783276,0.282903872018,TRPA1
NTC_1128,0.302446666667,0.116922437452,0.281911185113,NTC
